,actual_label,prediction,abstract
93,donald,joe,"Like your current health care plan? Too bad, you’re going to lose it under ObamaCare. Hope, Change & a 300% Increase in Your Premium."
97,joe,donald,"For once, Donald Trump is correct: I will listen to scientists. https://t.co/jmxoDn1Ezp"
235,joe,donald,"VP: “Jeep isn’t cutting jobs, they're adding jobs. PolitiFact—the fact-checkers they don't look at—they called the ad ‘wholly inaccurate.’”"
260,joe,donald,"It was great to see many of our first responders and union leaders in Cedar Rapids today. This country was built by hard working Americans like you, and I look forward to being back soon! https://t.co/qhtqdfweht"
294,joe,donald,"Jalal Talabani was a champion of the US-Iraq partnership and a friend, whose unifying leadership will be missed."
327,joe,donald,"Grins in Dartmouth, New Hampshire: http://t.co/wIGxlMqI"
436,joe,donald,"Today’s announcement that the United States will withdraw from the Iran nuclear deal is a profound mistake.

https://t.co/Odx33rBf3V"
440,joe,donald,"RT @VP: The Senate lost a brilliant strategic mind, a man with absolute integrity. He will be missed. -VP on @senatorlugar"
478,joe,donald,"From the bottom of our hearts, thank you. http://t.co/rN0vOSR0"
495,joe,donald,.@BeauBiden: Paul Ryan “left the door wide open” for putting additional troops in Afghanistan. http://t.co/FU2Is0yl
619,donald,joe,Our prayers are with Rev. @ BillyGraham for a speedy recovery. His faith continues to inspire us all.
674,joe,donald,“Donald Trump hasn’t grown into the job because he can’t.” https://t.co/TB3o7KE6GI
692,joe,donald,We can't just focus on the jobs of today — we have to also focus on the jobs and industries of tomorrow. I'll make a historic $300 billion investment in research and development that will spur innovation and help create 3 million jobs across the nation. https://t.co/o29BPuYSlb
770,joe,donald,"The fact is Donald Trump wasted an awful lot of time, and lives were lost as a consequence. https://t.co/c6UdsDmLWi"
1028,joe,donald,"In May 2010, the VP reaffirmed U.S. solidarity with a unified EU in an address to the European Parliament: http://t.co/QhKwAL21"
1078,joe,donald,"Favorite Joe photos, volume 1: http://t.co/Xt0pSrGc"
1136,donald,joe,"Hopefully the violence & unrest in Charlotte will come to an immediate end. To those injured, get well soon. We need unity & leadership."
1196,joe,donald,"And he doesn’t understand that the longest walk a parent can make is up a short flight of stairs to their child’s bedroom to say, honey, I'm sorry. We have to move. You can’t go back to your school. You won’t see your friends because Daddy or Mommy lost their job."
1199,joe,donald,Former Mayor Pete doesn’t think very highly of the Obama-Biden record. Let’s compare. https://t.co/132TB7MHaq
1277,joe,donald,"The Democratic Party is lucky to have leaders like Eric, and I look forward to continuing to work with him on the pressing issues facing Americans."
1304,donald,joe,"When you are in a war, or even a battle, losing is not an option!"
1344,joe,donald,"I want to clarify something I said yesterday. In my 40 years in public life, I have always complied with a lawful order and in my eight years as VP, my office — unlike Donald Trump and Mike Pence — cooperated with legitimate congressional oversight requests."
1382,joe,donald,President Obama and I left Donald Trump a booming economy — and he caused a recession. He squandered it just like he has everything else he’s inherited in his life.
1384,joe,donald,"Donald Trump has been trying to throw out Obamacare for years.

And now he sees an opportunity to finally get it done, all while ignoring the will of the people.

We can’t let him."
1396,joe,donald,A favorite Joe photo: http://t.co/UCwNrEkh
1696,joe,donald,"Boston has had many great mayors in its remarkable history, and @marty_walsh can proudly take his place among any of them. Thank you, Mayor, for giving me the honor of presiding over your swearing-in today. https://t.co/wiK3t5u8wX"
1752,joe,donald,A favorite Joe photo: http://t.co/0GWBE8aa
1787,joe,donald,"In times as challenging as these, I believe there is only one way forward: As a united America. https://t.co/ZRssx1GB2o"
1790,joe,donald,"When Donald Trump says tonight you won’t be safe in Joe Biden’s America, look around and ask yourself: How safe do you feel in Donald Trump’s America?"
1920,joe,donald,"Mr. President, the people are tired. They’re tired of your lies about this virus. They’re tired of watching more Americans die, and more people lose their jobs because you refuse to take this pandemic seriously. https://t.co/pdxdo3FadB"
1928,donald,joe,I’ve employed thousands of Electrical Workers. They will be voting for me!
1973,donald,joe,Armed Educators (and trusted people who work within a school) love our students and will protect them. Very smart people. Must be firearms adept & have annual training. Should get yearly bonus. Shootings will not happen again - a big & very inexpensive deterrent. Up to States.
2000,donald,joe,"this election. That is a direct threat to our democracy."" She then said, ""We have to accept the results and look to the future, Donald --"
2066,joe,donald,"State legislators like Sara Cambensy in Michigan and Danica Roem, Jennifer Carroll Foy, David Reid, John Bell, and Elizabeth Guzman in Virginia. People who stood up for working people of every stripe."
2125,joe,donald,"“Because of you and your productivity, the combined auto companies have committed to invest another $23 billion in expansion in America.”"
2127,joe,donald,"Second: Few people in the country understand how bankruptcy hurts working families more than Elizabeth Warren. Today, I am fully endorsing and adopting her bankruptcy plan, which she called ""Fixing Our Bankruptcy System to Give People a Second Chance."""
2144,joe,donald,A new way to follow Joe as he crisscrosses the country for #Obama2012—presenting the “Joe on the road” Pinterest board: http://t.co/Rg0gtY7x
2180,joe,donald,Connect with the campaign on Facebook and get a free Obama-Biden car magnet! http://t.co/ZLohF0cE
2196,donald,joe,""" @ therealTMac11: @ florianooke @ Toxmaster @ NRA The Elephants in Zimbabwe are so abundant that they are devastating the National Forest."""
2201,joe,donald,"New OFA video: Mitt Romney's ""unshakable"" record. http://t.co/zopDPDKf"
2206,joe,donald,This same poll has you losing to me by 7 points. https://t.co/cbwKoCbW7b
2231,joe,donald,"Now that we know who's on both teams, stand with Obama-Biden: http://t.co/Iss4b1Or"
2233,joe,donald,"Guatemalan President Jimmy Morales’s decision to end CICIG’s mandate represents a serious blow to anti-corruption efforts in the hemisphere. 

The US Administration should condition assistance on CICIG’s continued operation."
2453,joe,donald,"Thank you, Michigan! https://t.co/dpgKmRHoYb"
2603,joe,donald,A favorite Joe photo: http://t.co/m3ikDtZr
2604,donald,joe,""" @ FILMBAY_CINEMA: ""Experience taught me a few things. Sometimes your best investments are the ones you don't make."" Donald Trump"""
2656,joe,donald,"Thanks for having me on, @jimmykimmel! https://t.co/PPGqYvd00a"
